order_number,date,casting_weight_gr,material,modul,inoculant_weight_gr
170630723,11/4/2022,228123,G,1.68,4287
170630725,11/4/2022,228123,G,1.68,4287
170630625,11/3/2022,48838,F,2.23,719
170630519,11/4/2022,46512,G,1.9,761
170630523,11/4/2022,33374,G,1.52,817
170630525,11/4/2022,37791,G,1.95,601
170630527,11/4/2022,16300,G,1.52,405
170630529,11/4/2022,17860,G,2.04,276
170630535,11/3/2022,54978,G,1.97,895
170630541,11/1/2022,87965,G,1.97,1430
170630557,11/8/2022,172645,F,1.85,2313
170630559,11/4/2022,42585,G,1.42,1031
170630561,11/4/2022,11138,S,0.98,461
170630563,11/4/2022,14770,S,0.98,613
170630567,11/8/2022,14015,F,1.45,150
170630569,11/4/2022,30416,G,1.96,499
170630573,11/8/2022,14504,F,1.34,154
170630575,11/4/2022,60710,G,1.96,995
170630579,11/10/2022,27560,F,1.79,350
170630581,11/4/2022,32966,G,1.96,537
170630585,11/3/2022,49337,S,1.35,1310
170630589,11/4/2022,34789,G,1.79,717
170630591,11/4/2022,47518,G,2.03,777
170630599,10/28/2022,38311,G,1.96,697
170630609,11/2/2022,31253,G,2.2,467
170630611,10/31/2022,65688,G,2.12,1035
170630621,11/2/2022,12811,G,1.33,368
170630831,11/4/2022,54060,S,1.24,1422
170630833,11/3/2022,88638,S,1.6,1856
